Timestamp,Class,Confidence,X1,Y1,X2,Y2
2026-08-22 00:11:42.909,person,0.84,63,0,639,478
2026-08-22 00:11:42.975,person,0.84,57,0,639,479
2026-08-22 00:11:43.032,person,0.84,57,0,639,479
2026-08-22 00:11:43.093,person,0.82,62,0,640,478
2026-08-22 00:11:43.155,person,0.82,62,0,640,478
2026-08-22 00:11:43.218,person,0.84,62,0,640,478
2026-08-22 00:11:43.278,person,0.79,55,0,639,479
2026-08-22 00:11:43.342,person,0.79,55,0,639,479
2026-08-22 00:11:43.408,person,0.80,55,1,639,478
2026-08-22 00:11:43.470,person,0.82,60,0,639,478
2026-08-22 00:11:43.532,person,0.83,58,0,639,479
2026-08-22 00:11:43.595,person,0.80,60,0,639,479
2026-08-22 00:11:43.596,person,0.35,222,9,627,479
2026-08-22 00:11:43.665,person,0.81,56,0,636,478
2026-08-22 00:11:43.732,person,0.81,56,0,636,478
2026-08-22 00:11:43.794,person,0.81,56,0,636,478
2026-08-22 00:11:43.853,person,0.78,63,0,640,478
2026-08-22 00:11:43.911,person,0.66,63,0,639,478
2026-08-22 00:11:43.978,person,0.66,63,0,639,478
2026-08-22 00:11:44.039,person,0.73,56,0,636,478
2026-08-22 00:11:44.101,person,0.52,222,0,639,479
2026-08-22 00:11:44.158,person,0.52,222,0,639,479
2026-08-22 00:11:44.222,person,0.52,61,0,635,479
2026-08-22 00:11:44.222,person,0.33,243,0,639,479
2026-08-22 00:11:44.285,person,0.57,220,0,637,480
2026-08-22 00:11:44.285,person,0.51,45,0,635,479
2026-08-22 00:11:44.349,person,0.64,214,0,639,479
2026-08-22 00:11:44.413,person,0.64,214,0,639,479
2026-08-22 00:11:44.474,person,0.61,205,0,639,478
2026-08-22 00:11:44.536,person,0.74,214,0,640,479
2026-08-22 00:11:44.607,person,0.74,214,0,640,479
2026-08-22 00:11:44.667,person,0.74,214,0,640,477
2026-08-22 00:11:44.722,person,0.74,210,0,640,479
2026-08-22 00:11:44.786,person,0.74,210,0,640,479
2026-08-22 00:11:44.842,person,0.72,219,4,639,478
2026-08-22 00:11:44.906,person,0.72,219,4,639,478
2026-08-22 00:11:44.974,person,0.68,236,2,639,478
2026-08-22 00:11:44.974,person,0.32,49,0,640,479
2026-08-22 00:11:45.034,person,0.46,242,0,639,477
2026-08-22 00:11:45.096,person,0.48,148,0,637,479
2026-08-22 00:11:45.158,person,0.51,235,2,638,478
2026-08-22 00:11:45.158,person,0.38,60,0,637,479
2026-08-22 00:11:45.223,person,0.51,235,2,638,478
2026-08-22 00:11:45.223,person,0.38,60,0,637,479
2026-08-22 00:11:45.276,person,0.75,66,0,632,478
2026-08-22 00:11:45.342,person,0.77,66,0,638,479
2026-08-22 00:11:45.401,person,0.77,66,0,638,479
2026-08-22 00:11:45.464,person,0.82,64,0,640,479
2026-08-22 00:11:45.525,person,0.82,64,0,640,479
2026-08-22 00:11:45.591,person,0.86,59,4,636,478
2026-08-22 00:11:45.653,person,0.86,59,4,636,478
2026-08-22 00:11:45.718,person,0.84,54,0,633,480
2026-08-22 00:11:45.782,person,0.81,62,3,632,479
2026-08-22 00:11:45.847,person,0.81,62,3,632,479
2026-08-22 00:11:45.916,person,0.83,63,4,627,479
2026-08-22 00:11:45.992,person,0.84,63,1,606,480
2026-08-22 00:11:46.064,person,0.84,63,1,606,480
2026-08-22 00:11:46.132,person,0.86,72,0,635,478
2026-08-22 00:11:46.196,person,0.86,80,0,637,479
2026-08-22 00:11:46.257,person,0.80,76,14,635,478
2026-08-22 00:11:46.326,person,0.78,65,0,624,478
2026-08-22 00:11:46.387,person,0.78,65,0,624,478
2026-08-22 00:11:46.456,person,0.75,79,0,634,478
2026-08-22 00:11:46.529,person,0.75,67,0,633,479
2026-08-22 00:11:46.588,person,0.74,151,1,638,479
2026-08-22 00:11:46.652,person,0.68,65,0,637,478
2026-08-22 00:11:46.712,person,0.68,65,0,637,478
2026-08-22 00:11:46.767,person,0.73,207,0,638,480
2026-08-22 00:11:46.836,person,0.71,184,2,638,480
2026-08-22 00:11:46.897,person,0.71,184,2,638,480
2026-08-22 00:11:46.962,person,0.64,160,1,638,480
2026-08-22 00:11:47.030,person,0.68,213,2,638,480
2026-08-22 00:11:47.103,person,0.67,172,1,638,480
2026-08-22 00:11:47.166,person,0.70,171,1,638,480
2026-08-22 00:11:47.218,person,0.70,171,1,638,480
2026-08-22 00:11:47.289,person,0.62,184,2,638,480
2026-08-22 00:11:47.351,person,0.62,184,2,638,480
2026-08-22 00:11:47.408,person,0.73,202,3,638,480
2026-08-22 00:11:47.470,person,0.72,200,3,639,480
2026-08-22 00:11:47.545,person,0.72,200,3,639,480
2026-08-22 00:11:47.617,person,0.75,213,4,638,480
2026-08-22 00:11:47.677,person,0.73,182,4,638,480
2026-08-22 00:11:47.740,person,0.73,182,4,638,480
2026-08-22 00:11:48.009,person,0.71,197,3,639,480
2026-08-22 00:11:48.067,person,0.68,173,3,638,480
2026-08-22 00:11:48.130,person,0.69,189,3,638,480
2026-08-22 00:11:48.186,person,0.69,189,3,638,480
2026-08-22 00:11:48.243,person,0.67,197,5,638,479
2026-08-22 00:11:48.302,person,0.73,207,5,638,480
2026-08-22 00:11:48.368,person,0.71,191,3,638,480
2026-08-22 00:11:48.421,person,0.72,200,4,638,480
2026-08-22 00:11:48.498,person,0.71,171,4,638,480
2026-08-22 00:11:48.559,person,0.71,171,4,638,480
2026-08-22 00:11:48.623,person,0.71,171,4,638,480
2026-08-22 00:11:48.683,person,0.75,190,6,638,480
2026-08-22 00:11:48.741,person,0.68,178,5,638,480
2026-08-22 00:11:48.795,person,0.68,178,5,638,480
2026-08-22 00:11:48.856,person,0.69,165,4,638,479
2026-08-22 00:11:48.916,person,0.71,99,4,635,479
2026-08-22 00:11:48.977,person,0.71,99,4,635,479
2026-08-22 00:11:49.040,person,0.65,154,2,638,480
2026-08-22 00:11:49.103,person,0.62,182,2,638,480
2026-08-22 00:11:49.165,person,0.70,174,1,638,480
2026-08-22 00:11:49.228,person,0.70,174,1,638,480
2026-08-22 00:11:49.287,person,0.71,164,0,637,479
2026-08-22 00:11:49.351,person,0.74,143,1,637,479
2026-08-22 00:11:49.407,person,0.74,143,1,637,479
2026-08-22 00:11:49.465,person,0.72,154,0,638,480
2026-08-22 00:11:49.522,person,0.72,154,0,638,480
2026-08-22 00:11:49.589,person,0.70,175,2,638,479
2026-08-22 00:11:49.642,person,0.65,186,4,638,480
2026-08-22 00:11:49.713,person,0.65,186,4,638,480
2026-08-22 00:11:49.778,person,0.69,167,3,637,480
2026-08-22 00:11:49.842,person,0.65,168,3,638,480
2026-08-22 00:11:49.901,person,0.71,172,3,637,480
2026-08-22 00:11:49.964,person,0.73,170,3,638,480
2026-08-22 00:11:50.027,person,0.73,170,3,638,480
2026-08-22 00:11:50.109,person,0.72,171,2,638,480
2026-08-22 00:11:50.169,person,0.72,171,2,638,480
2026-08-22 00:11:50.235,person,0.71,188,3,638,480
2026-08-22 00:11:50.305,person,0.69,184,1,637,480
2026-08-22 00:11:50.374,person,0.69,184,1,637,480
